ModulationOrder,SNR,PilotLength,PilotSpacing,SymbolRate,PhaseNoise,BER,CBER
4,0,2,128,10000000000,20,0.181350903,0.202345748
4,0,2,128,10000000000,25,0.208889466,0.204213955
4,0,2,128,10000000000,30,0.344589194,0.200327685
4,0,2,128,30000000000,0,0.158337996,0.202690417
4,0,2,128,30000000000,5,0.159067295,0.199048913
4,0,2,128,30000000000,10,0.159716672,0.20203105
4,0,2,128,30000000000,15,0.161450008,0.199283688
4,0,2,128,30000000000,20,0.166205443,0.199118846
4,0,2,128,30000000000,25,0.17152034,0.201606458
4,0,2,128,30000000000,30,0.256703565,0.201276774
4,0,2,256,1000000,0,0.160460957,0.204388787
4,0,2,256,1000000,5,0.164467112,0.206501758
4,0,2,256,1000000,10,0.180047155,0.230338875
4,0,2,256,1000000,15,0.216771899,0.265709918
4,0,2,256,1000000,20,0.295816017,0.363006514
4,0,2,256,1000000,25,0.427359735,0.476272778
4,0,2,256,1000000,30,0.497577326,0.50257253
4,0,2,256,10000000,0,0.161834639,0.197795117
4,0,2,256,10000000,5,0.165820812,0.202675432
4,0,2,256,10000000,10,0.18090633,0.216282369
4,0,2,256,10000000,15,0.218160566,0.234859535
4,0,2,256,10000000,20,0.298943015,0.282358935
4,0,2,256,10000000,25,0.429138027,0.38684363
4,0,2,256,10000000,30,0.495754076,0.473235694
4,0,2,256,30000000,0,0.160126279,0.200762268
4,0,2,256,30000000,5,0.165081522,0.204618566
4,0,2,256,30000000,10,0.183533808,0.203080043
4,0,2,256,30000000,15,0.212001479,0.21483376
4,0,2,256,30000000,20,0.303328804,0.252897219
4,0,2,256,30000000,25,0.416445213,0.315247363
4,0,2,256,30000000,30,0.501738331,0.42273917
4,0,2,256,100000000,0,0.161085358,0.20019781
4,0,2,256,100000000,5,0.168688059,0.200872163
4,0,2,256,100000000,10,0.17700008,0.204688499
4,0,2,256,100000000,15,0.217081602,0.206976303
4,0,2,256,100000000,20,0.292139546,0.214703884
4,0,2,256,100000000,25,0.433378956,0.248376559
4,0,2,256,100000000,30,0.515839794,0.327835278
4,0,2,256,300000000,0,0.160061341,0.205183024
4,0,2,256,300000000,5,0.166465193,0.198519421
4,0,2,256,300000000,10,0.176110934,0.203045077
4,0,2,256,300000000,15,0.197795117,0.203110014
4,0,2,256,300000000,20,0.294846947,0.207320972
4,0,2,256,300000000,25,0.375964074,0.222631274
4,0,2,256,300000000,30,0.51366688,0.253261869
4,0,2,256,1000000000,0,0.162998521,0.199493486
4,0,2,256,1000000000,5,0.16101043,0.200827206
4,0,2,256,1000000000,10,0.175936101,0.205617607
4,0,2,256,1000000000,15,0.207151135,0.202915201
4,0,2,256,1000000000,20,0.310851582,0.202920197
4,0,2,256,1000000000,25,0.336152294,0.203204923
4,0,2,256,1000000000,30,0.499715273,0.216691976
4,0,2,256,10000000000,0,0.15735394,0.203404731
4,0,2,256,10000000000,5,0.159971427,0.209453924
4,0,2,256,10000000000,10,0.160560862,0.199418558
4,0,2,256,10000000000,15,0.163752797,0.197685222
4,0,2,256,10000000000,20,0.195487332,0.200577446
4,0,2,256,10000000000,25,0.265530091,0.19909387
4,0,2,256,10000000000,30,0.338390145,0.203055067
4,0,2,256,30000000000,0,0.157848465,0.195462356
4,0,2,256,30000000000,5,0.159921475,0.202140945
4,0,2,256,30000000000,10,0.159616768,0.202855259
4,0,2,256,30000000000,15,0.158852502,0.197440457
4,0,2,256,30000000000,20,0.172324568,0.203644501
4,0,2,256,30000000000,25,0.182824488,0.197525376
4,0,2,256,30000000000,30,0.23595848,0.201346707
4,0,2,512,1000000,0,0.161152742,0.204853914
4,0,2,512,1000000,5,0.165477519,0.210239955
4,0,2,512,1000000,10,0.18005122,0.23443479
4,0,2,512,1000000,15,0.217115753,0.272416095
4,0,2,512,1000000,20,0.297014509,0.376664142
4,0,2,512,1000000,25,0.422592474,0.472023477
4,0,2,512,1000000,30,0.49441466,0.49771305
4,0,2,512,10000000,0,0.160808952,0.203015386
4,0,2,512,10000000,5,0.165248326,0.200409558
4,0,2,512,10000000,10,0.180669045,0.214330556
4,0,2,512,10000000,15,0.219303053,0.233782087
4,0,2,512,10000000,20,0.298693599,0.318160077
4,0,2,512,10000000,25,0.420250717,0.438212492
4,0,2,512,10000000,30,0.500996492,0.492840202
4,0,2,512,30000000,0,0.161327129,0.205332231
4,0,2,512,30000000,5,0.164884606,0.215825295
4,0,2,512,30000000,10,0.177300901,0.203219667
4,0,2,512,30000000,15,0.214405293,0.238515426
4,0,2,512,30000000,20,0.297413106,0.253781688
4,0,2,512,30000000,25,0.424306441,0.357297313
4,0,2,512,30000000,30,0.507648079,0.454669563
4,0,2,512,100000000,0,0.160898637,0.209203603
4,0,2,512,100000000,5,0.165821309,0.204350686
4,0,2,512,100000000,10,0.172512755,0.207365075
4,0,2,512,100000000,15,0.219024035,0.216203962
4,0,2,512,100000000,20,0.296899912,0.236004265
4,0,2,512,100000000,25,0.439054528,0.282939055
4,0,2,512,100000000,30,0.500313895,0.366878587
4,0,2,512,300000000,0,0.161332111,0.20247728
4,0,2,512,300000000,5,0.161959901,0.205137915
4,0,2,512,300000000,10,0.171022999,0.205357143
4,0,2,512,300000000,15,0.20929827,0.202676578
4,0,2,512,300000000,20,0.265809351,0.215571189
4,0,2,512,300000000,25,0.358737245,0.24020448
4,0,2,512,300000000,30,0.484813457,0.314149195
4,0,2,512,1000000000,0,0.160051618,0.198690609
4,0,2,512,1000000000,5,0.16367885,0.205078125
4,0,2,512,1000000000,10,0.173280054,0.195775869
4,0,2,512,1000000000,15,0.26469328,0.204614756
4,0,2,512,1000000000,20,0.224230708,0.206199179
4,0,2,512,1000000000,25,0.423389668,0.212741151
4,0,2,512,1000000000,30,0.495441048,0.227638712
4,0,2,512,10000000000,0,0.15825295,0.197978117
4,0,2,512,10000000000,5,0.15979253,0.197634327
4,0,2,512,10000000000,10,0.163170639,0.196852081
4,0,2,512,10000000000,15,0.163569236,0.201072226
4,0,2,512,10000000000,20,0.211754624,0.204261001
4,0,2,512,10000000000,25,0.195103237,0.205521564
4,0,2,512,10000000000,30,0.285973374,0.210688377
4,0,2,512,30000000000,0,0.156977439,0.198864995
4,0,2,512,30000000000,5,0.158223055,0.197948222
4,0,2,512,30000000000,10,0.160235969,0.198810188
4,0,2,512,30000000000,15,0.159697864,0.193772919
4,0,2,512,30000000000,20,0.166155134,0.206612723
4,0,2,512,30000000000,25,0.179936623,0.200618822
4,0,2,512,30000000000,30,0.232710858,0.198282047
4,0,2,1024,1000000,0,0.160101443,0.206503109
4,0,2,1024,1000000,5,0.165557239,0.20217335
4,0,2,1024,1000000,10,0.178207709,0.223777304
4,0,2,1024,1000000,15,0.216672313,0.274912309
4,0,2,1024,1000000,20,0.298867985,0.389209981
4,0,2,1024,1000000,25,0.424495775,0.487678372
4,0,2,1024,1000000,30,0.497244699,0.500149474
4,0,2,1024,10000000,0,0.160529935,0.206812022
4,0,2,1024,10000000,5,0.168476961,0.211156728
4,0,2,1024,10000000,10,0.17711655,0.218436105
4,0,2,1024,10000000,15,0.216109295,0.257922114
4,0,2,1024,10000000,20,0.291015625,0.334163744
4,0,2,1024,10000000,25,0.426658163,0.466926419
4,0,2,1024,10000000,30,0.500772282,0.492336974
4,0,2,1024,30000000,0,0.16179548,0.213443678
4,0,2,1024,30000000,5,0.165019133,0.211844308
4,0,2,1024,30000000,10,0.179543009,0.206518056
4,0,2,1024,30000000,15,0.219058913,0.238440689
4,0,2,1024,30000000,20,0.291593591,0.294617945
4,0,2,1024,30000000,25,0.431311783,0.40657386
4,0,2,1024,30000000,30,0.511723732,0.476432956
4,0,2,1024,100000000,0,0.160634566,0.202751315
4,0,2,1024,100000000,5,0.164251834,0.201993981
4,0,2,1024,100000000,10,0.181112484,0.204525072
4,0,2,1024,100000000,15,0.218221859,0.21650291
4,0,2,1024,100000000,20,0.319804289,0.263228436
4,0,2,1024,100000000,25,0.458864796,0.32583805
4,0,2,1024,100000000,30,0.499611368,0.421665737
4,0,2,1024,300000000,0,0.161302216,0.214684311
4,0,2,1024,300000000,5,0.166872608,0.204091598
4,0,2,1024,300000000,10,0.181052695,0.198585977
4,0,2,1024,300000000,15,0.204475247,0.204579879
4,0,2,1024,300000000,20,0.306720344,0.224230708
4,0,2,1024,300000000,25,0.422682159,0.264299665
4,0,2,1024,300000000,30,0.485271843,0.349270568
4,0,2,1024,1000000000,0,0.159747688,0.204719388
4,0,2,1024,1000000000,5,0.160759128,0.202063736
4,0,2,1024,1000000000,10,0.175701531,0.21844607
4,0,2,1024,1000000000,15,0.215845225,0.214679329
4,0,2,1024,1000000000,20,0.255844428,0.210469149
4,0,2,1024,1000000000,25,0.430409957,0.216557717
4,0,2,1024,1000000000,30,0.494972696,0.255670041
4,0,2,1024,10000000000,0,0.15792909,0.210040657
4,0,2,1024,10000000000,5,0.158247967,0.194714605
4,0,2,1024,10000000000,10,0.160490075,0.208829919
4,0,2,1024,10000000000,15,0.165631975,0.196777344
4,0,2,1024,10000000000,20,0.178835499,0.201336296
4,0,2,1024,10000000000,25,0.197051379,0.210279815
4,0,2,1024,10000000000,30,0.21771863,0.202711456
4,0,2,1024,30000000000,0,0.15687779,0.198012994
4,0,2,1024,30000000000,5,0.159065091,0.196822186
4,0,2,1024,30000000000,10,0.159946987,0.193718112
4,0,2,1024,30000000000,15,0.161112883,0.201854472
4,0,2,1024,30000000000,20,0.1689204,0.197509766
4,0,2,1024,30000000000,25,0.181172274,0.230354153
4,0,2,1024,30000000000,30,0.381482183,0.206064652
4,0,8,16,1000000,0,0.16029,0.169045
4,0,8,16,1000000,5,0.166375,0.17305
4,0,8,16,1000000,10,0.179405,0.179915
4,0,8,16,1000000,15,0.216355,0.200865
4,0,8,16,1000000,20,0.295095,0.258765
4,0,8,16,1000000,25,0.42322,0.3725
4,0,8,16,1000000,30,0.49996,0.478535
4,0,8,16,10000000,0,0.16038,0.16878
4,0,8,16,10000000,5,0.16547,0.17039
4,0,8,16,10000000,10,0.180245,0.170595
4,0,8,16,10000000,15,0.216545,0.174365
